| 一级    | 二级   | 数量 | 原声总结                             | 小类    | 小小类    | 数量 | 原声举例                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
|-------|------|----|----------------------------------|-------|--------|----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|  丝滑流畅 | 系统   | 65 | 华为 新系统版本 流畅                      |       |        | 3  | 如题， 华为mate60pro系统已升级鸿蒙6.0，初上手感觉鸿蒙6很丝滑啊，发热和续航比4.2好太多了[赞R]，感觉流畅度和稳定性已经超越了iOS，特别是iOS26那一坨，鸿蒙真的是越升级越流畅，流畅度真遥遥领先[汗颜R]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|  丝滑流畅 | 系统   |    |                                  |       |        |    | 以下是升级近一个月使用感受： [微笑R]首先是好的地方，系统还是比鸿蒙4.2流畅不少，太丝滑了现在。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
|  丝滑流畅 | 系统   |    |                                  |       |        |    | 鸿蒙6的下一个版本6.0.0.328已经正在内测了，此版本主要升级有两点，一是操作更加丝滑流畅，肉眼可见的更加流畅，操作起来非常舒服，比130版本还要丝滑很多；二是操作界面设计优化了，修改了很多，但改得很像iPhone的iOS界面。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
|  丝滑流畅 | 系统   |    | 华为 沉浸光感 流畅                       |       |        | 1  | 感觉华为这个沉浸光感还挺好看，华为的性能居然也能支撑得起来，而且还很流畅，这就是自研系统的好处吗？ 液态玻璃[话题] 华为鸿蒙[话题] ios26[话题] 一起聊数码[话题] iphone[话题] huawei[话题]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|  丝滑流畅 | 系统   |    | 华为 帧率 流畅                         |       |        | 1  | 说出来你可能会骂我，鸿蒙6比苹果丝滑。我的直观感受，帧率不抽不卡，太稳定了                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|  丝滑流畅 | 系统   |    | 仅提及                              |       |        | 60 | 华为手机优点也很多，随便说如下三个： 1️⃣系统流畅 放大倍数也清晰                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
|  丝滑流畅 | 长期使用 | 33 | 苹果 用3/4/5年 流畅                    |       |        | 5  | 没用过华为产品，但是苹果在用的手机最长使用年限会4年以上，如果我可以忍受后来电池不行，甚至可以用更久。之前ipadair5 应该已经用了小三年了吧，使用仍然很流畅                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|  丝滑流畅 | 长期使用 |    |                                  |       |        |    | 手里的13用上三年都不卡。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|  丝滑流畅 | 长期使用 |    |                                  |       |        |    | iPhone15Pro：芯片性能很强悍＋系统本身就做得好。哪怕过了两年，游戏方面表现依旧很不错                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|  丝滑流畅 | 长期使用 |    |                                  |       |        |    | 一部iPhone使用5年还能流畅运行                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
|  丝滑流畅 | 长期使用 |    |                                  |       |        |    | iOS：极致流畅稳定，用 3 年不卡                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
|  丝滑流畅 | 长期使用 |    | 苹果 用了2/3年 卡顿                     |       |        | 1  | 华为p70换苹果17p的失落感，谁懂啊。之前是用了10年左右的苹果，最后一代是苹果13，才用了两三年就开始卡顿，                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|  丝滑流畅 | 长期使用 |    | 华为 用了5年 流畅                       |       |        | 1  | 华为手机用五年不卡是梗还是实话。华为mate40 pro，说实话，20年11月份买的到现在还在用一点也不卡[偷笑R]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|  丝滑流畅 | 长期使用 |    | 华为 用了5年 卡顿                       |       |        | 1  | 现在用的是华为mate30，用了五年变卡了想换手机                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
|  丝滑流畅 | 长期使用 |    | 仅提及                              |       |        | 25 | 华为p80现在就是软件适配问题，还有手机用久了会不会卡                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  丝滑流畅 | 日常使用 | 32 | 华为 WiFI自动切换/WIFI5G切换 丝滑          | WIFI  | WIFI   | 5  | 3️⃣wifi自动识别非常丝滑，家里有两个不同的wifi，以前用🍎经常需要手动切来切去，华为可以自动切换成网速更好的那个，这点真的是爱了。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
|  丝滑流畅 | 日常使用 |    |                                  |       |        |    | 华为在信号切换的时候比苹果顺畅很多，比如从家里出门，从WiFi环境切换到5G，苹果会卡一段时间，华为很丝滑                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|  丝滑流畅 | 日常使用 |    |                                  |       |        |    | 苹果那个信号我都无力说了，华为打王者比苹果好多了。尤其是在路上的时候。wifi 切换移动数据的时候真卡。电梯里也好卡。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  丝滑流畅 | 日常使用 |    |                                  |       |        |    | 从WiFi切换到数据的过程比较丝滑，不像苹果手机要等个四五秒                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
|  丝滑流畅 | 日常使用 |    | 华为 打开相机/相机放大 掉帧                  | 系统功能  | 相机     | 2  | 5️⃣系统方面 两者其实感觉不出来 苹果iOS系统很流畅 华为鸿蒙系统也很流畅，唯一就是打开相机的时候拍摄视频会偶尔掉帧，相机放大的时候微微卡顿                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|  丝滑流畅 | 日常使用 |    | 华为 阔屏剪辑4K 不卡顿                    | 日常APP | 剪视频APP | 1  | 阔屏搭配剪映剪视频，像16:9的长视频就是上下布局，底部工具栏无需拖拽，所有功能都能显示，比传统手机方便。▪️剪辑4K视频也完全不会卡顿，华为Pura X Max就是手机平板二合一                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|  丝滑流畅 | 日常使用 |    | 华为 全局高刷 丝滑                       |       |        | 1  | 不得不惊叹于鸿蒙系统的优化。华为在各种日常使用场景的丝滑程度远强于苹果（开启了全局高刷）                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|  丝滑流畅 | 日常使用 |    | 华为 小艺输入法、小艺AI 反映灵敏               | 系统功能  | 输入法    | 1  | 再次从苹果换回了华为。入手mate 80，用了两天丝滑流畅。小艺输入法，小艺AI反应灵敏，超级好用。 我和我的mate[话题] 期待记录美好生活[大笑R]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|  丝滑流畅 | 日常使用 |    | 苹果 键盘打字 流畅                       | 系统功能  | 输入法    | 1  | 苹果的白色外壳看着珠光宝气，其他那几家真的没有高级感。我特意用苹果键盘打字打电话号码，的确非常流畅，拼音排列是26英文字母，但是系统很聪明，打字很快                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|  丝滑流畅 | 日常使用 |    | 苹果 打字 不跟手                        | 系统功能  | 输入法    | 1  | 苹果用户的嘴这么严嘛，从华为mate60pro➕纯血鸿蒙转的17air，不打游戏，日常使用，打字不跟手，返回不顺滑，体验感真的拉，华为纯血是真的流畅，日常使用，不打游戏没有发表权。讲，苹果真不如华为。但不吹不黑，手感是真的好，续航也能接受。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|  丝滑流畅 | 日常使用 |    | 苹果 微信和WPS联动 丝滑                   | 日常APP | WPS    | 1  | 微信收到文件直接用WPS打开，文件形式的转化发送，真是不如苹果丝滑方便。今天收到一个压缩包，华为手机上微信里直接转WPS解压保存竟然显示超过100无法解压保存，只能用苹果手机登录微信完成解压保存，而且解压后能直接预览文件，华为的解压后无法预览，只能再点开WPS点开看[哭惹R]，真是影响工作丝滑度                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
|  丝滑流畅 | 日常使用 |    |                                  |       |        |    | 华为mate70Pro 6.0相机卡的要死，现在一打开必卡，我真的服了[生气R] 负优化也不带这样的华为手机[话题] 卡顿[话题] 相机掉帧[话题]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|  丝滑流畅 | 日常使用 |    | 仅提及                              |       |        | 19 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|  丝滑流畅 | 系统动画 | 31 | 苹果 相机键滑动流畅度 欠缺                   | 系统类   |        | 1  | 相机键，这次在外观上的另一大不同吧，不过在目前实际的体验上确实不是很理想，触控位置离手指就比较远，需要换手姿才行，其次就是需要一定的学习成本来适应操作，并且滑动过程中的流畅度也欠缺                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|  丝滑流畅 | 系统动画 |    | 华为 运动健康动画 流畅                     | APP类  |        | 1  | 明明有对标iOS的流畅动画，有更精准的运动监测，却非要让本应高效的体验变得焦躁。就像走进精心布置的书房，发现墙上贴满促销海报，那种割裂感让人瞬间出戏                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|  丝滑流畅 | 系统动画 |    | 苹果 ProMotion高刷丝滑                 | 0     |        | 1  |  屏幕 & 体验。iPhone Air：6.5 英寸 OLED 屏，120Hz ProMotion 刷新技术确实丝滑                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|  丝滑流畅 | 系统动画 |    | 华为 动画比苹果 更自然                     | 0     |        | 1  | ✅ 动画更流畅（比上代鸿蒙更丝滑，比苹果iOS动画更自然，长时间用也不卡顿，越用越顺）                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  丝滑流畅 | 系统动画 |    | 华为 全局搜索打断动画 灵敏                   | 系统类   |        | 1  | 这三都是T0级别的手机系统，动画效果都很到位了，只是部分细节有差异。像打断动画这种基础，这三家都做得很到位了。 而灵动岛回收的动画，苹果和OPPO的会更圆润一些。小窗这块苹果还是画中画，华为OPPO是都已经支持多窗口了。全局搜索处的打断动画华为反应很快，OPPO则还能做到从哪来回哪去，苹果就稍微有点延迟了。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|  丝滑流畅 | 系统动画 |    | 华为 APP打断动画、负一屏切换、后台任务管理、灵动岛切换 丝滑 | 系统类   |        | 1  | 听说有人想看苹果和国产手机系统流畅度对比？ 那就拿苹果iOS 26、华为鸿蒙OS 5、小米澎湃OS 3、OPPO ColorOS 16四大系统来对比一下吧 看看国产系统和苹果在流畅度上还有多大差距~ 1️⃣解锁动画 输完密码后进入桌面都很丝滑，就看入场动画你喜欢哪家了~ 2️⃣APP打断动画 从我的操作体验来看，四家确实都很流畅，跟手性感觉还是苹果华为OPPO要好一点点。 3️⃣负一屏切换 这部分小米没有切换和打断动画，而苹果华为OPPO都做得不错，感觉ColorOS 16反应速度更快点？ 4️⃣后台任务管理 滑动都没有卡顿，不过视觉上，还是苹果和OPPO的堆料后台更丝滑。 5️⃣灵动岛切换 各家灵动岛动画都不错，华为OPPO的逻辑相似，小米则有两种形式更丰富。 6️⃣页面垂直滑动 都没有感觉到卡顿，不过OPPO ColorOS 16好像更丝滑一点吧？ 个人总结一下，除了苹果iOS一贯流畅外，华为鸿蒙OS 5目前轻量化流畅性还是不错的，安卓这边小米澎湃OS 3确实提升很大，但还有提升空间；而OPPO的ColorOS 16毫无疑问达到了安卓的流畅巅峰，动效做得确实丝滑，不愧是机圈德芙。另外OPPO的AI功能也超级实用，像新增的AI补光等AI图像功能，还有全新AI一键闪记，非常聪明好用~ 那么对比下来，你们觉得谁更流畅呢？                                                                                                |
|  丝滑流畅 | 系统动画 |    | 华为 控制中心，天气APP过渡动画 不细腻            | 系统类   |        | 1  | ⚠️精致感略逊一筹：在控制中心，天气APP等界面设计和过渡动画还是没iOS细腻自然️                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|  丝滑流畅 | 系统动画 |    | 仅提及                              |       |        | 24 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|  丝滑流畅 | 打游戏  | 13 | 华为 王者荣耀 帧率、分辨率、画质 高              | 王者    |        | 1  | mate70Air在王者荣耀上可以做到【帧率极高、分辨率超高、画面总画质高清】的惊人表现！反而是iPhone17Air目前只能锁60帧[失望R]（腾讯你这次是故意的吗？）但是其他重负载游戏，在没有厂家积极适配的情况下，华为的表现都是不如苹果的（苹果不过热的情况下）！                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|  丝滑流畅 | 打游戏  |    | 华为 玩二次元游性能不足                     | 二次元   |        | 1  |  1. 性能上限不够，如果想玩二游得三思，但我不在手机上玩没有感知                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|  丝滑流畅 | 打游戏  |    | 华为 英雄联盟                          | 联盟    |        | 2  | 游戏：本人只玩英雄联盟，不长时间玩的话，华为还是可以的。网上测评都说华为手机不适合游戏，应该还是处理器的原因，这也很无奈，毕竟被白宫严选了。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
|  丝滑流畅 | 打游戏  |    |                                  |       |        |    | 性能 1）玩手游比较少，英雄联盟非常流畅，不会发热，和17没啥区别； 80没感觉到杀后台；                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|  丝滑流畅 | 打游戏  |    | 仅提及                              |       |        | 9  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|  丝滑流畅 | 多APP | 12 | 仅提及                              |       |        | 12 | 不会卡顿，后台开了很多APP依然很丝滑，还是蛮喜欢的。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  丝滑流畅 | 主观   | 50 | 仅提及                              |       |        | 50 | 华为MATE40换手机苹果15Pro Max。使用习惯什么的都能克服，苹果手感不错，非常流畅                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| 卡顿    | 日常使用 | 25 | 苹果 微信 卡顿                         | 日常APP | 微信     | 3  | 要不是我在实体店买的 真的怀疑是假货…… 微信打视频黑屏卡顿 打字卡顿 手机慢半拍 声音调节卡顿…… 要不是我老十四摔得稀烂，哪轮得到你上位！ 苹果17pro[话题]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| 卡顿    | 日常使用 |    |                                  |       |        |    | 17pro为什么这么卡，真是要疯了，真的受不了手机有一点卡顿，日常微信卡住不动，退后台好几次，微信拍小视频也卡顿，扫码付款卡住付不了，真的很社死，才用了几个月摄像头还有黑点，怕不是买到残次品了，又没有时间去等维修，手机里面的视频照片资料贼多，真的没招了，真的是我用苹果以来最拉的一台手机apple售后[话题] Apple手机卡顿[话题]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| 卡顿    | 日常使用 |    |                                  |       |        |    |  [火R]苹果缺点： 1.苹果微信，会卡，聊天框里拍照会卡。。但是可以发 live 图。                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
