note_id,title,l1_main,l2_main,total_interaction,text
69d27b7600000000220000c2,时长半小时！光遇竞速大电影《时代》上线！,时长控制,时长偏好,119246,时长半小时！光遇竞速大电影《时代》上线！ 送给光遇竞速五周年，送给竞速赛场上的每一个人#光遇[话题]# #光遇竞速大电影时代[话题]# #光遇花憩节[话题]# #光遇人均小太阳[话题]# #光遇大电影[话题]# #RED新生代创作大赛[话题]# #二创剧场[话题]#
668cb7c40000000025001978,“仅此782秒，致我永远热泪盈眶的高三.”,观看体验,未分类,37618,"“仅此782秒，致我永远热泪盈眶的高三.” 人没有办法同时拥有青春和对青春的感受；
​但是很庆幸你们至少来过，
​在我的青春里留下炙热的一笔。
高考不是终点，
离别也并非句号。
​祝大家都有光明的未来！
​我们来日方长！
#高考[话题]# #vlog[话题]# #毕业[话题]# #高三[话题]#  #高考加油[话题]# #励志[话题]# #青春回忆[话题]# #青春[话题]# #师大附中[话题]#"
6982b7f1000000002203016b,【长视频】一份人生使用手册：观察并爱自己,社交互动,跨端同步,135436,"【长视频】一份人生使用手册：观察并爱自己 一直没在这边同步，这次也一起发上来吧～
#拥抱我的身体信号[话题]# #观察[话题]# #马住生活的光[话题]# #J人的生活[话题]# #我的天赋进化史[话题]# #爱你老己[话题]# #人生意义[话题]# #计划[话题]# #自我管理[话题]# #如何让人生开挂[话题]# @热点薯"
6764c999000000000b017bcc,五日生活小簿超长版📝自己做干净漂亮饭,未分类,未分类,72231,五日生活小簿超长版📝自己做干净漂亮饭 #vlog[话题]# #vlog我的一天[话题]# #日常饮食[话题]##小红书慢人节[话题]#
6885a7300000000017034ecd,“你打算怎样度过你的人生？”,内容质量,剧情评价,75735,“你打算怎样度过你的人生？” #励志[话题]# #正能量[话题]# #人生[话题]# #正能量[话题]# #高能[话题]# #高分电影[话题]# #电影剪辑[话题]# #我的人生电影[话题]# #努力[话题]# #你将活出怎样的人生[话题]# #你的人生属于你自己[话题]# #去过你想要的生活吧[话题]# #选择你想要的生活[话题]# #你的人生你来定义[话题]# #上海电影节[话题]# #乐观[
69350ce8000000000d0384c3,长视频，建议1.5倍速观看。长期处于慢性压力，容易导致低效和沉溺幻想#慢性压力[话题]# #身体健康[话题]# #心理压力[话题]# #温水煮青蛙[话题]# #低效[话题]# #低价值感[话题]# #学点儿心理学[话题]#,时长控制,倍速播放,82459,长视频，建议1.5倍速观看。长期处于慢性压力，容易导致低效和沉溺幻想#慢性压力[话题]# #身体健康[话题]# #心理压力[话题]# #温水煮青蛙[话题]# #低效[话题]# #低价值感[话题]# #学点儿心理学[话题]# 长视频，建议1.5倍速观看。长期处于慢性压力，容易导致低效和沉溺幻想#慢性压力[话题]# #身体健康[话题]# #心理压力[话题]# #温水煮青蛙[话题]# #低效[话题]# 
66de7848000000000c01a78a,那些我所拥有的「奢侈品」,观看体验,身体疲劳,61373,"那些我所拥有的「奢侈品」 之前刷到 @阿文就是Aya 的视频很有感触
我一直都坚信，金钱从来无法困住我们的步伐。
人生中最重要的东西，也往往都不是购得的。
在我们的身边，有无数像我一样的普通人都拥有着别人买不来也夺不走的、属于自己的奢侈品。
#小红书外人节[话题]#  #户外是我的精神保护区[话题]#  #女性力量[话题]#  #女性觉醒[话题]#  #独立女性[话题]#  #自由[话题]#  #"
67e3c7a0000000001e002ea1,台球公主发癔症,场景使用,剧情评价,61113,台球公主发癔症 #炸裂[话题]# #睡前故事[话题]# #女大学生[话题]# #情感[话题]#
69d45be200000000220034e0,我在哥斯达黎加丛林的25天,时长控制,时长偏好,81751,"我在哥斯达黎加丛林的25天 注意此视频时长140分钟！
这是《雨林时钟》系列 25 天超长完整重制版，把我在雨林里的日夜、遇见的每一个小生命，都原原本本呈现给你。有相遇与告别，有温柔与残酷，有喧嚣也有寂静。
愿你在这片绿色世界里，慢下来，听见自然真正的声音。 #RED新生代创作大赛[话题]#  #科学向导[话题]#  #神奇的动物[话题]# #动物科普[话题]#  #我看到的世界[话题]# #野外"
69bf97c0000000001a030f25,你凭啥免费啊.....,场景使用,剧情评价,49671,你凭啥免费啊..... 库存（发现漏发了一篇）嘻嘻#中尖商[话题]# #抽象[话题]# #真实还原[话题]# #真实事件[话题]# #搞笑[话题]# #吐槽[话题]# #电子榨菜[话题]# #睡前故事[话题]#
693309d0000000001f00c7f6,有被种草的热歌合集～🎧,功能需求,时长偏好,62507,有被种草的热歌合集～🎧 送给大家一小时的音乐#主要是歌好听[话题]# #一直循环播放[话题]# #宝藏歌曲[话题]# #氛围感歌曲[话题]# #宝藏音乐[话题]#
677ba0b1000000000100988f,Study vlog☁️ 无倍速 一小时 白噪音·伴学,时长控制,倍速播放,48959,"Study vlog☁️ 无倍速 一小时 白噪音·伴学 🙇🏻‍♀️最长只能放得下1h
	
🙇🏻‍♀️祝你明天比今天收获更多
	
#学习打卡[话题]# #study[话题]# #study_account[话题]##学习vlog[话题]# #学习供暖计划[话题]# #studyvlog[话题]##治愈[话题]##宝藏新品[话题]##小红书小美说[话题]##REDGLOW[话题]#﻿"
69ccc7bd000000002003b4a4,穷女收入开窍拿结果（深度长视频）,内容质量,未分类,63656,穷女收入开窍拿结果（深度长视频） 我晓得大部分人看不下去，因为很难看需要反复吸收。但我更知道真理在少部分人手里#vlog[话题]# #自媒体[话题]# #个人成长[话题]# #RED新生代创作大赛[话题]# #认知觉醒[话题]#
69c234de000000001a031711,高温幸存一口气看完,行为习惯,观看时长,39596,高温幸存一口气看完 暴雨过后，所有人都欢呼庆祝，却没有人知道更大的灾难即将来临#原创动画[话题]# #末日[话题]# #自然堂小紫瓶[话题]# #抗老精华[话题]# #一口气看完[话题]#
69da2f21000000001a027055,哥们你真是那个....,场景使用,剧情评价,29091,哥们你真是那个.... #中尖商[话题]# #电子榨菜[话题]##睡前故事[话题]##书亦烧仙草[话题]# #书亦超有料[话题]##红豆夹心糯糯珠抹茶[话题]#
684e9eb10000000022024a81,《悉达多》一生的思考与追寻,观看体验,身体疲劳,40646,《悉达多》一生的思考与追寻 为什么乱世总有人读悉达多？黑塞在 1921 年写下的故事，却屡次在一战、二战、越战的硝烟中爆火。当世界用30 岁必须结婚，同龄人年薪百万的标尺丈量你我时，这本书就像蹲在河边的老人，轻声提醒着我们：​​一个人有所追寻时，他只会看到所追寻之物。求知或做人，每条路都铺满荆棘，每个人都必须独行，没人能替你痛。​​做一条浑浊的河吧，别问什么是对的，答案不在对岸，而在你掀起的水花里
68bc303f000000001c00f9bd,团宠跟班 47分钟纯享,内容质量,剧情评价,39652,团宠跟班 47分钟纯享 #搞笑[话题]# #猫meme[话题]# #剧情需要请勿当真[话题]# #根据小说改编[话题]# #团宠[话题]#
696cacf90000000022008f61,《柿子爽嘴》1-22大合集,观看体验,剧情评价,35371,《柿子爽嘴》1-22大合集 #猫meme[话题]# #猫meme小剧场[话题]# #超爆小故事[话题]# #剧情[话题]# #女频[话题]#
69a173f3000000001d012ffa,#一口气看完系列[话题]# 极寒末世来临，而我却在壁炉旁吃火锅。完整版！#末日生存[话题]# #末世[话题]# #末日囤货文[话题]#,行为习惯,观看时长,33495,#一口气看完系列[话题]# 极寒末世来临，而我却在壁炉旁吃火锅。完整版！#末日生存[话题]# #末世[话题]# #末日囤货文[话题]# #一口气看完系列[话题]# 极寒末世来临，而我却在壁炉旁吃火锅。完整版！#末日生存[话题]# #末世[话题]# #末日囤货文[话题]#
